County GEOID,County/City,Population,Neighbor Names,Neighbor GEOIDs,District
51073,Gloucester County,40057,"['James City County', 'King and Queen County', 'Mathews County', 'Middlesex County', 'York County']","[51095, 51097, 51115, 51119, 51199]",2
51075,Goochland County,27197,"['Chesterfield County', 'Cumberland County', 'Fluvanna County', 'Hanover County', 'Henrico County', 'Louisa County', 'Powhatan County']","[51041, 51049, 51065, 51085, 51087, 51109, 51145]",2
51077,Grayson County,15285,"['Carroll County', 'Smyth County', 'Washington County', 'Wythe County', 'Galax city']","[51035, 51173, 51191, 51197, 51640]",1
51079,Greene County,21301,"['Albemarle County', 'Madison County', 'Orange County', 'Page County', 'Rockingham County']","[51003, 51113, 51137, 51139, 51165]",2
51081,Greensville County,11133,"['Brunswick County', 'Dinwiddie County', 'Southampton County', 'Sussex County', 'Emporia city']","[51025, 51053, 51175, 51183, 51595]",6
51083,Halifax County,33432,"['Campbell County', 'Charlotte County', 'Mecklenburg County', 'Pittsylvania County']","[51031, 51037, 51117, 51143]",5
51085,Hanover County,114148,"['Caroline County', 'Goochland County', 'Henrico County', 'King William County', 'Louisa County', 'New Kent County', 'Spotsylvania County']","[51033, 51075, 51087, 51101, 51109, 51127, 51177]",1
51087,Henrico County,334760,"['Charles City County', 'Chesterfield County', 'Goochland County', 'Hanover County', 'New Kent County', 'Powhatan County', 'Richmond city']","[51036, 51041, 51075, 51085, 51127, 51145, 51760]",11
51089,Henry County,49702,"['Franklin County', 'Patrick County', 'Pittsylvania County', 'Martinsville city']","[51067, 51141, 51143, 51690]",1
51091,Highland County,2339,"['Augusta County', 'Bath County']","[51015, 51017]",10
51093,Isle of Wight County,40711,"['James City County', 'Southampton County', 'Surry County', 'Franklin city', 'Newport News city', 'Suffolk city']","[51095, 51175, 51181, 51620, 51700, 51800]",9
51095,James City County,82654,"['Charles City County', 'Gloucester County', 'Isle of Wight County', 'King and Queen County', 'New Kent County', 'Surry County', 'York County', 'Newport News city', 'Williamsburg city']","[51036, 51073, 51093, 51097, 51127, 51181, 51199, 51700, 51830]",3
51097,King and Queen County,6720,"['Caroline County', 'Essex County', 'Gloucester County', 'James City County', 'King William County', 'Middlesex County', 'New Kent County']","[51033, 51057, 51073, 51095, 51101, 51119, 51127]",2
51099,King George County,28568,"['Caroline County', 'Essex County', 'Stafford County', 'Westmoreland County']","[51033, 51057, 51179, 51193]",4
51101,King William County,19030,"['Caroline County', 'Hanover County', 'King and Queen County', 'New Kent County']","[51033, 51085, 51097, 51127]",7
51103,Lancaster County,10859,"['Accomack County', 'Essex County', 'Middlesex County', 'Northumberland County', 'Richmond County']","[51001, 51057, 51119, 51133, 51159]",6
51105,Lee County,21745,"['Scott County', 'Wise County']","[51169, 51195]",2
51107,Loudoun County,436347,"['Clarke County', 'Fairfax County', 'Fauquier County', 'Prince William County']","[51043, 51059, 51061, 51153]",2
51109,Louisa County,41037,"['Albemarle County', 'Fluvanna County', 'Goochland County', 'Hanover County', 'Orange County', 'Spotsylvania County']","[51003, 51065, 51075, 51085, 51137, 51177]",3
51111,Lunenburg County,12038,"['Brunswick County', 'Charlotte County', 'Mecklenburg County', 'Nottoway County', 'Prince Edward County']","[51025, 51037, 51117, 51135, 51147]",8
51113,Madison County,14128,"['Culpeper County', 'Greene County', 'Orange County', 'Page County', 'Rappahannock County']","[51047, 51079, 51137, 51139, 51157]",7
51115,Mathews County,8514,"['Accomack County', 'Gloucester County', 'Middlesex County', 'Northampton County', 'York County']","[51001, 51073, 51119, 51131, 51199]",4
51117,Mecklenburg County,30648,"['Brunswick County', 'Charlotte County', 'Halifax County', 'Lunenburg County']","[51025, 51037, 51083, 51111]",3
51119,Middlesex County,10924,"['Accomack County', 'Essex County', 'Gloucester County', 'King and Queen County', 'Lancaster County', 'Mathews County', 'Northampton County', 'Richmond County']","[51001, 51057, 51073, 51097, 51103, 51115, 51131, 51159]",3
51121,Montgomery County,98666,"['Craig County', 'Floyd County', 'Giles County', 'Pulaski County', 'Roanoke County', 'Radford city']","[51045, 51063, 51071, 51155, 51161, 51750]",5
51125,Nelson County,14705,"['Albemarle County', 'Amherst County', 'Appomattox County', 'Augusta County', 'Buckingham County', 'Rockbridge County']","[51003, 51009, 51011, 51015, 51029, 51163]",7
51127,New Kent County,26134,"['Charles City County', 'Hanover County', 'Henrico County', 'James City County', 'King and Queen County', 'King William County']","[51036, 51085, 51087, 51095, 51097, 51101]",1
51131,Northampton County,12021,"['Accomack County', 'Mathews County', 'Middlesex County', 'York County', 'Hampton city', 'Norfolk city', 'Poquoson city', 'Virginia Beach city']","[51001, 51115, 51119, 51199, 51650, 51710, 51735, 51810]",7
51133,Northumberland County,12391,"['Accomack County', 'Lancaster County', 'Richmond County', 'Westmoreland County']","[51001, 51103, 51159, 51193]",2
51135,Nottoway County,15566,"['Amelia County', 'Brunswick County', 'Dinwiddie County', 'Lunenburg County', 'Prince Edward County']","[51007, 51025, 51053, 51111, 51147]",10
